id,name,box_art_url
"183","The King of Fighters: Maximum Impact","https://static-cdn.jtvnw.net/ttv-boxart/./The%20King%20of%20Fighters:%20Maximum%20Impact-{width}x{height}.jpg"
"184","Carnival","https://static-cdn.jtvnw.net/ttv-boxart/Carnival-{width}x{height}.jpg"
"185","Terra Cognita","https://static-cdn.jtvnw.net/ttv-boxart/Terra%20Cognita-{width}x{height}.jpg"
"186","Ace Ventura Pet Detective: The Case of the Serial Shaver","https://static-cdn.jtvnw.net/ttv-boxart/./Ace%20Ventura%20Pet%20Detective:%20The%20Case%20of%20the%20Serial%20Shaver-{width}x{height}.jpg"
"187","X-COM: UFO Defense","https://static-cdn.jtvnw.net/ttv-boxart/./X-COM:%20UFO%20Defense-{width}x{height}.jpg"
"188","Asterix and Obelix Take on Caesar","https://static-cdn.jtvnw.net/ttv-boxart/Asterix%20and%20Obelix%20Take%20on%20Caesar-{width}x{height}.jpg"
"189","The Adventures of Jimmy Neutron: Boy Genius - Attack of the Twonkies","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Adventures%20of%20Jimmy%20Neutron:%20Boy%20Genius%20-%20Attack%20of%20the%20Twonkies-{width}x{height}.jpg"
"190","Alien Cabal","https://static-cdn.jtvnw.net/ttv-boxart/Alien%20Cabal-{width}x{height}.jpg"
"191","Deep Fighter","https://static-cdn.jtvnw.net/ttv-boxart/Deep%20Fighter-{width}x{height}.jpg"
"192","Pursuit Force","https://static-cdn.jtvnw.net/ttv-boxart/Pursuit%20Force-{width}x{height}.jpg"
"193","Celtic Legends","https://static-cdn.jtvnw.net/ttv-boxart/Celtic%20Legends-{width}x{height}.jpg"
"194","Tiny Toon Adventures: The Great Beanstalk","https://static-cdn.jtvnw.net/ttv-boxart/./Tiny%20Toon%20Adventures:%20The%20Great%20Beanstalk-{width}x{height}.jpg"
"195","The Outforce","https://static-cdn.jtvnw.net/ttv-boxart/The%20Outforce-{width}x{height}.jpg"
"196","Battlecorps","https://static-cdn.jtvnw.net/ttv-boxart/Battlecorps-{width}x{height}.jpg"
"197","Project: Starfighter","https://static-cdn.jtvnw.net/ttv-boxart/./Project:%20Starfighter-{width}x{height}.jpg"
"198","Fantastic Fossils","https://static-cdn.jtvnw.net/ttv-boxart/Fantastic%20Fossils-{width}x{height}.jpg"
"199","Beyond Oasis","https://static-cdn.jtvnw.net/ttv-boxart/Beyond%20Oasis-{width}x{height}.jpg"
"200","USA Racer","https://static-cdn.jtvnw.net/ttv-boxart/USA%20Racer-{width}x{height}.jpg"
"201","The Animation Classics Pack","https://static-cdn.jtvnw.net/ttv-boxart/The%20Animation%20Classics%20Pack-{width}x{height}.jpg"
"202","Giddy 3: The Retro Eggsperience","https://static-cdn.jtvnw.net/ttv-boxart/./Giddy%203:%20The%20Retro%20Eggsperience-{width}x{height}.jpg"
